STUDENT ID,Biology,Chemistry,Civic Education,Commerce,Economics,English,Further Mathematics,Government,Geography,Literature in English,Mathematics,Physics,Department
88886,ABS,ABS,ABS,A1,C6,C6,ABS,F9,ABS,ABS,C5,ABS,Commercial
88887,ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,F9,A1,F9,ABS,Science
88888,ABS,ABS,ABS,ABS,B2,A1,ABS,A1,ABS,ABS,A1,ABS,Science
88889,ABS,ABS,ABS,C5,F9,F9,ABS,F9,ABS,ABS,A1,ABS,Science
88890,F9,C4,ABS,ABS,ABS,E8,F9,ABS,D7,ABS,F9,A1,Commercial
88891,ABS,ABS,ABS,ABS,ABS,B3,ABS,F9,F9,F9,B3,ABS,Science
88892,F9,F9,ABS,ABS,ABS,B2,F9,ABS,F9,ABS,B2,A1,Science
88893,ABS,ABS,ABS,F9,F9,C4,ABS,C5,ABS,ABS,E8,ABS,Arts
88894,D7,A1,ABS,ABS,ABS,E8,F9,ABS,A1,ABS,A1,E8,Commercial
88895,ABS,ABS,ABS,C6,A1,F9,ABS,B2,ABS,ABS,F9,ABS,Science
88896,ABS,ABS,ABS,ABS,ABS,D7,ABS,F9,C4,B3,A1,ABS,Arts
88897,C6,B2,ABS,ABS,ABS,F9,E8,ABS,F9,ABS,D7,D7,Arts
88898,ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,F9,F9,F9,ABS,Science
88899,ABS,ABS,ABS,B3,A1,A1,ABS,B2,ABS,ABS,A1,ABS,Science
88900,C4,C6,ABS,ABS,ABS,A1,F9,ABS,B2,ABS,A1,C4,Arts
88901,ABS,ABS,ABS,B2,A1,A1,ABS,A1,ABS,ABS,F9,ABS,Commercial
88902,A1,F9,ABS,ABS,ABS,C5,C4,ABS,F9,ABS,C6,D7,Commercial
88903,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,A1,A1,ABS,Science
88904,ABS,ABS,ABS,F9,F9,A1,ABS,A1,ABS,ABS,C5,ABS,Commercial
88905,ABS,ABS,ABS,ABS,ABS,B2,ABS,D7,F9,A1,C5,ABS,Commercial
88906,ABS,ABS,ABS,A1,A1,C6,ABS,A1,ABS,ABS,F9,ABS,Arts
88907,A1,A1,ABS,ABS,ABS,A1,D7,ABS,A1,ABS,E8,F9,Arts
88908,ABS,ABS,ABS,A1,A1,A1,ABS,A1,ABS,ABS,F9,ABS,Commercial
88909,A1,E8,ABS,ABS,ABS,A1,D7,ABS,A1,ABS,F9,B2,Science
88910,ABS,ABS,ABS,F9,A1,F9,ABS,B2,ABS,ABS,F9,ABS,Commercial
88911,ABS,ABS,ABS,C5,F9,A1,ABS,A1,ABS,ABS,A1,ABS,Commercial
88912,ABS,ABS,ABS,ABS,ABS,D7,ABS,F9,C6,A1,F9,ABS,Arts
88913,ABS,ABS,ABS,F9,F9,F9,ABS,F9,ABS,ABS,F9,ABS,Science
88914,ABS,ABS,ABS,ABS,ABS,E8,ABS,F9,B2,B2,F9,ABS,Commercial
88915,ABS,ABS,ABS,A1,F9,F9,ABS,C5,ABS,ABS,B3,ABS,Arts
88916,ABS,ABS,ABS,ABS,ABS,A1,ABS,C4,A1,E8,F9,ABS,Arts
88917,A1,F9,ABS,ABS,ABS,C4,F9,ABS,A1,ABS,F9,C5,Commercial
88918,ABS,ABS,ABS,ABS,ABS,F9,ABS,D7,C5,A1,F9,ABS,Science
88919,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,B3,A1,ABS,Arts
88920,F9,A1,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,E8,E8,Commercial
88921,A1,A1,ABS,ABS,ABS,C4,B3,ABS,F9,ABS,F9,F9,Science
88922,ABS,ABS,ABS,ABS,ABS,B2,ABS,A1,F9,F9,A1,ABS,Arts
88923,ABS,ABS,ABS,F9,A1,F9,ABS,B3,ABS,ABS,F9,ABS,Science
88924,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,F9,F9,ABS,Arts
88925,ABS,ABS,ABS,F9,C4,A1,ABS,A1,ABS,ABS,F9,ABS,Arts
88926,D7,E8,ABS,ABS,ABS,C4,F9,ABS,C6,ABS,F9,F9,Science
88927,ABS,ABS,ABS,F9,B3,F9,ABS,A1,ABS,ABS,B3,ABS,Arts
88928,ABS,ABS,ABS,B3,A1,E8,ABS,A1,ABS,ABS,A1,ABS,Commercial
88929,C4,C5,ABS,ABS,ABS,F9,A1,ABS,A1,ABS,E8,F9,Commercial
88931,E8,F9,ABS,ABS,ABS,F9,C6,ABS,F9,ABS,A1,C4,Science
88930,ABS,ABS,ABS,F9,D7,F9,ABS,A1,ABS,ABS,C4,ABS,Commercial
88932,A1,F9,ABS,ABS,ABS,A1,C4,ABS,A1,ABS,C4,B2,Arts
88933,ABS,ABS,ABS,ABS,ABS,C4,ABS,C6,C4,A1,A1,ABS,Science
88934,ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,A1,D7,ABS,ABS,Arts
88935,ABS,ABS,ABS,ABS,ABS,F9,ABS,E8,E8,E8,F9,ABS,Science
88936,B3,B3,ABS,ABS,ABS,B2,B3,ABS,B2,ABS,F9,F9,Science
88937,D7,B3,ABS,ABS,ABS,F9,E8,ABS,A1,ABS,A1,B2,Science
88938,A1,F9,ABS,ABS,ABS,F9,F9,ABS,C5,ABS,B2,D7,Arts
88939,D7,F9,ABS,ABS,ABS,F9,A1,ABS,A1,ABS,C6,C4,Arts
88940,B3,F9,ABS,ABS,ABS,F9,A1,ABS,A1,ABS,C4,C6,Science
88941,F9,F9,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,F9,F9,Science
88942,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,F9,A1,F9,ABS,Science
88943,ABS,ABS,ABS,D7,F9,B2,ABS,A1,ABS,ABS,A1,ABS,Commercial
88944,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,C6,F9,A1,ABS,Commercial
88945,A1,F9,ABS,ABS,ABS,F9,A1,ABS,A1,ABS,C4,C6,Science
219567,ABS,ABS,ABS,F9,ABS,F9,ABS,A1,ABS,ABS,F9,ABS,Arts
219568,ABS,ABS,ABS,ABS,ABS,E8,ABS,A1,E8,C6,A1,ABS,Arts
219570,ABS,ABS,ABS,C5,A1,D7,ABS,F9,ABS,ABS,A1,ABS,Science
219569,ABS,ABS,ABS,ABS,ABS,C6,ABS,F9,F9,F9,F9,ABS,Commercial
219571,ABS,ABS,ABS,ABS,ABS,F9,ABS,B3,F9,D7,A1,ABS,Arts
219572,F9,A1,ABS,ABS,ABS,A1,F9,ABS,C5,ABS,F9,B2,Commercial
219573,D7,A1,ABS,ABS,ABS,F9,E8,ABS,A1,ABS,B3,F9,Commercial
219574,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,C4,F9,ABS,Arts
219575,ABS,ABS,ABS,F9,D7,C5,ABS,ABS,ABS,ABS,F9,ABS,Commercial
219576,ABS,ABS,ABS,F9,B2,A1,ABS,E8,ABS,ABS,B2,ABS,Arts
219577,A1,F9,ABS,ABS,ABS,C5,B3,ABS,A1,ABS,A1,C6,Commercial
219578,A1,C6,ABS,ABS,ABS,C4,A1,ABS,A1,ABS,F9,F9,Commercial
219579,ABS,ABS,ABS,B3,F9,B3,ABS,A1,ABS,ABS,F9,ABS,Science
219580,ABS,ABS,ABS,B3,E8,C6,ABS,A1,ABS,ABS,F9,ABS,Arts
219581,A1,F9,ABS,ABS,ABS,ABS,C5,ABS,F9,ABS,B3,F9,Science
219582,ABS,ABS,ABS,ABS,ABS,B2,ABS,F9,F9,C6,E8,ABS,Arts
219583,ABS,ABS,ABS,F9,C6,F9,ABS,F9,ABS,ABS,A1,ABS,Arts
219584,D7,C4,ABS,ABS,ABS,D7,D7,ABS,A1,ABS,C4,A1,Science
219585,C4,C5,ABS,ABS,ABS,A1,F9,ABS,A1,ABS,A1,F9,Science
219586,C6,A1,ABS,ABS,ABS,F9,B2,ABS,C6,ABS,F9,F9,Arts
219587,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,C4,F9,ABS,Commercial
219588,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,D7,A1,F9,ABS,Arts
219589,ABS,ABS,ABS,C4,F9,F9,ABS,F9,ABS,ABS,A1,ABS,Commercial
219590,ABS,ABS,ABS,B3,A1,F9,ABS,F9,ABS,ABS,F9,ABS,Science
219591,ABS,ABS,ABS,F9,E8,F9,ABS,C5,ABS,ABS,B2,ABS,Commercial
219592,ABS,ABS,ABS,ABS,ABS,F9,ABS,D7,B2,A1,F9,ABS,Science
219593,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,C5,F9,A1,ABS,Arts
219594,A1,F9,ABS,ABS,ABS,F9,ABS,ABS,F9,ABS,A1,B2,Arts
219595,F9,D7,ABS,ABS,ABS,B3,C4,ABS,A1,ABS,C6,C5,Science
219596,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,E8,F9,ABS,Arts
219597,B2,A1,ABS,ABS,ABS,A1,B3,ABS,F9,ABS,F9,F9,Science
219598,ABS,ABS,ABS,F9,F9,F9,ABS,B2,ABS,ABS,C4,ABS,Commercial
219599,C5,F9,ABS,ABS,ABS,A1,F9,ABS,A1,ABS,A1,B3,Science
219600,ABS,ABS,ABS,ABS,ABS,D7,ABS,F9,F9,F9,F9,ABS,Arts
219601,ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,A1,C5,F9,ABS,Arts
219602,ABS,ABS,ABS,ABS,ABS,C6,ABS,F9,F9,A1,F9,ABS,Arts
219603,ABS,ABS,ABS,C5,C5,ABS,ABS,E8,ABS,ABS,C6,ABS,Commercial
219604,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,F9,D7,ABS,Commercial
219605,F9,C6,ABS,ABS,ABS,B2,F9,ABS,F9,ABS,F9,ABS,Science
219606,A1,C4,ABS,ABS,ABS,F9,A1,ABS,C6,ABS,F9,C4,Commercial
219607,ABS,ABS,ABS,A1,F9,D7,ABS,F9,ABS,ABS,F9,ABS,Science
219608,B2,F9,ABS,ABS,ABS,F9,F9,ABS,A1,ABS,F9,F9,Science
219609,ABS,ABS,ABS,ABS,ABS,F9,ABS,C4,F9,F9,C4,ABS,Science
219610,C4,F9,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,B2,A1,Commercial
219611,F9,D7,ABS,ABS,ABS,F9,F9,ABS,F9,ABS,F9,F9,Science
219612,C5,C6,ABS,ABS,ABS,ABS,E8,ABS,C5,ABS,B3,D7,Commercial
219613,F9,F9,ABS,ABS,ABS,C5,C5,ABS,C4,ABS,F9,A1,Commercial
219614,ABS,ABS,ABS,ABS,ABS,F9,ABS,C6,ABS,F9,A1,ABS,Arts
219615,ABS,ABS,ABS,C5,F9,F9,ABS,F9,ABS,ABS,B3,ABS,Commercial
219616,C5,C5,ABS,ABS,ABS,F9,F9,ABS,A1,ABS,F9,C6,Science
219617,C6,F9,ABS,ABS,ABS,E8,A1,ABS,F9,ABS,F9,F9,Commercial
219618,ABS,ABS,ABS,F9,C5,D7,ABS,F9,ABS,ABS,F9,ABS,Commercial
219619,ABS,ABS,ABS,ABS,ABS,C6,ABS,A1,F9,C6,F9,ABS,Arts
219620,F9,F9,ABS,ABS,ABS,A1,F9,ABS,F9,ABS,B3,A1,Science
219621,ABS,ABS,ABS,A1,C4,A1,ABS,A1,ABS,ABS,A1,ABS,Commercial
219622,F9,C4,ABS,ABS,ABS,A1,C5,ABS,E8,ABS,F9,F9,Arts
219623,A1,C6,ABS,ABS,ABS,D7,F9,ABS,F9,ABS,F9,F9,Arts
219624,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,E8,B3,F9,ABS,Science
219625,A1,F9,ABS,ABS,ABS,F9,D7,ABS,C6,ABS,A1,F9,Arts
219626,ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,F9,F9,D7,ABS,Commercial
219627,ABS,ABS,ABS,ABS,ABS,B2,ABS,E8,A1,E8,F9,ABS,Arts
219628,ABS,ABS,ABS,A1,F9,F9,ABS,B2,ABS,ABS,A1,ABS,Arts
45221,ABS,ABS,ABS,A1,B2,F9,ABS,F9,ABS,ABS,D7,ABS,Commercial
45222,B2,F9,ABS,ABS,ABS,C4,F9,ABS,A1,ABS,B3,B3,Commercial
45223,ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,A1,E8,C5,ABS,Arts
45224,ABS,ABS,ABS,A1,B3,F9,ABS,B3,ABS,ABS,F9,ABS,Science
45225,ABS,ABS,ABS,B3,C6,E8,ABS,F9,ABS,ABS,C5,ABS,Science
45226,ABS,ABS,ABS,A1,C5,A1,ABS,F9,ABS,ABS,F9,ABS,Commercial
45227,ABS,ABS,ABS,ABS,ABS,C6,ABS,F9,C4,F9,A1,ABS,Science
45228,ABS,ABS,ABS,ABS,ABS,E8,ABS,B3,F9,F9,C5,ABS,Commercial
45229,C5,F9,ABS,ABS,ABS,F9,F9,ABS,C4,ABS,B3,F9,Science
45230,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,C5,F9,C5,ABS,Science
45231,C5,F9,ABS,ABS,ABS,F9,F9,ABS,C6,ABS,A1,A1,Commercial
45232,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,ABS,F9,F9,ABS,Commercial
45233,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,F9,C6,ABS,Commercial
45234,A1,A1,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,C4,F9,Commercial
45235,F9,F9,ABS,ABS,ABS,B2,F9,ABS,F9,ABS,C5,F9,Science
45236,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,A1,C5,ABS,Science
45237,ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,F9,B3,C4,ABS,Arts
45238,E8,C5,ABS,ABS,ABS,A1,F9,ABS,B3,ABS,F9,A1,Arts
45239,ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,A1,A1,F9,ABS,Science
45240,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,F9,F9,ABS,Arts
45241,ABS,ABS,ABS,ABS,ABS,C5,ABS,F9,A1,D7,F9,ABS,Arts
45242,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,F9,F9,F9,ABS,Science
45243,ABS,ABS,ABS,B2,E8,B2,ABS,A1,ABS,ABS,C5,ABS,Commercial
45244,ABS,ABS,ABS,ABS,F9,A1,ABS,C4,ABS,ABS,B2,ABS,Science
45245,ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,C5,F9,F9,ABS,Science
45248,ABS,ABS,ABS,ABS,ABS,D7,ABS,F9,B3,A1,C5,ABS,Arts
45246,ABS,ABS,ABS,ABS,ABS,E8,ABS,A1,A1,F9,A1,ABS,Science
45247,ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,F9,F9,F9,ABS,Arts
45249,ABS,ABS,ABS,E8,F9,C5,ABS,F9,ABS,ABS,A1,ABS,Arts
45250,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,A1,F9,ABS,Arts
45251,ABS,ABS,ABS,C6,A1,A1,ABS,A1,ABS,ABS,B2,ABS,Commercial
45252,F9,D7,ABS,ABS,ABS,F9,A1,ABS,A1,ABS,D7,F9,Arts
45253,ABS,ABS,ABS,B3,C6,B2,ABS,F9,ABS,ABS,F9,ABS,Arts
45254,ABS,ABS,ABS,ABS,ABS,C6,ABS,F9,D7,A1,B2,ABS,Commercial
45255,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,B2,A1,D7,ABS,Arts
45256,ABS,ABS,ABS,A1,F9,D7,ABS,A1,ABS,ABS,C6,ABS,Arts
45257,ABS,ABS,ABS,A1,F9,C5,ABS,D7,ABS,ABS,F9,ABS,Commercial
45258,ABS,ABS,ABS,D7,F9,E8,ABS,F9,ABS,ABS,F9,ABS,Commercial
45259,ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,C6,A1,F9,ABS,Commercial
45260,ABS,ABS,ABS,ABS,ABS,A1,ABS,B3,C5,A1,C5,ABS,Arts
45261,ABS,ABS,ABS,A1,E8,C4,ABS,A1,ABS,ABS,F9,ABS,Commercial
45262,ABS,ABS,ABS,ABS,ABS,C6,ABS,F9,A1,A1,A1,ABS,Science
45263,ABS,ABS,ABS,B2,A1,F9,ABS,F9,ABS,ABS,F9,ABS,Science
45264,ABS,ABS,ABS,ABS,ABS,F9,ABS,B2,F9,F9,A1,ABS,Arts
45265,ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,A1,F9,E8,ABS,Arts
45266,ABS,ABS,ABS,F9,A1,C5,ABS,C4,ABS,ABS,C4,ABS,Arts
45267,ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,A1,A1,B3,ABS,Commercial
45268,ABS,ABS,ABS,F9,B3,B2,ABS,B2,ABS,ABS,A1,ABS,Arts
45269,ABS,ABS,ABS,ABS,ABS,B3,ABS,F9,F9,F9,A1,ABS,Arts
45270,ABS,ABS,ABS,A1,D7,A1,ABS,A1,ABS,ABS,A1,ABS,Arts
45271,ABS,ABS,ABS,ABS,ABS,A1,ABS,C6,A1,C4,F9,ABS,Commercial
45272,E8,F9,ABS,ABS,ABS,F9,F9,ABS,F9,ABS,F9,F9,Commercial
45273,ABS,ABS,ABS,ABS,ABS,E8,ABS,D7,A1,F9,A1,ABS,Science
45274,ABS,ABS,ABS,F9,E8,F9,ABS,E8,ABS,ABS,A1,ABS,Commercial
45275,C6,F9,ABS,ABS,ABS,E8,F9,ABS,E8,ABS,B3,C6,Arts
45276,ABS,ABS,ABS,A1,A1,A1,ABS,A1,ABS,ABS,F9,ABS,Science
45279,F9,A1,ABS,ABS,ABS,E8,F9,ABS,F9,ABS,F9,D7,Commercial
45278,ABS,ABS,ABS,ABS,ABS,D7,ABS,F9,C5,F9,E8,ABS,Arts
45277,ABS,ABS,ABS,ABS,ABS,B2,ABS,F9,ABS,C6,E8,ABS,Arts
45280,F9,F9,ABS,ABS,ABS,A1,F9,ABS,F9,ABS,F9,A1,Commercial
45281,ABS,ABS,ABS,F9,A1,F9,ABS,A1,ABS,ABS,B3,ABS,Arts
45282,B2,B3,ABS,ABS,ABS,F9,A1,ABS,C6,ABS,C6,A1,Arts
45283,F9,A1,ABS,ABS,ABS,A1,C4,ABS,E8,ABS,F9,F9,Arts
45284,ABS,ABS,ABS,A1,B3,C6,ABS,F9,ABS,ABS,A1,ABS,Arts
45285,B3,A1,ABS,ABS,ABS,A1,D7,ABS,C5,ABS,F9,C5,Commercial
45286,A1,F9,ABS,ABS,ABS,A1,E8,ABS,A1,ABS,F9,A1,Arts
45287,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,D7,F9,ABS,Arts
45288,ABS,ABS,ABS,A1,F9,A1,ABS,F9,ABS,ABS,E8,ABS,Science
45289,F9,F9,ABS,ABS,ABS,F9,F9,ABS,A1,ABS,A1,F9,Science
45290,ABS,ABS,ABS,ABS,ABS,A1,ABS,D7,F9,F9,F9,ABS,Commercial
45291,A1,F9,ABS,ABS,ABS,D7,A1,ABS,A1,ABS,A1,A1,Science
45292,ABS,ABS,ABS,C6,A1,F9,ABS,A1,ABS,ABS,F9,ABS,Science
45293,ABS,ABS,ABS,ABS,ABS,F9,ABS,C5,E8,D7,A1,ABS,Commercial
45294,ABS,ABS,ABS,F9,D7,A1,ABS,A1,ABS,ABS,C6,ABS,Commercial
45295,A1,F9,ABS,ABS,ABS,F9,A1,ABS,C6,ABS,C4,F9,Commercial
45296,ABS,ABS,ABS,F9,D7,F9,ABS,F9,ABS,ABS,F9,ABS,Commercial
45297,ABS,F9,ABS,ABS,ABS,B3,A1,ABS,C6,ABS,C5,A1,Arts
45298,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,C4,A1,ABS,Arts
45299,ABS,ABS,ABS,D7,B2,F9,ABS,D7,ABS,ABS,F9,ABS,Commercial
45300,ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,B3,B2,F9,ABS,Commercial
45301,ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,F9,F9,C6,ABS,Science
45302,B3,C6,ABS,ABS,ABS,C4,F9,ABS,F9,ABS,F9,C6,Science
45303,ABS,ABS,ABS,ABS,ABS,B2,ABS,C5,F9,A1,F9,ABS,Science
45304,ABS,ABS,ABS,B3,B2,E8,ABS,C4,ABS,ABS,F9,ABS,Commercial
45305,ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,F9,B3,A1,ABS,Arts
45306,A1,D7,ABS,ABS,ABS,A1,C4,ABS,F9,ABS,C4,D7,Science
45307,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,A1,E8,ABS,Commercial
45308,A1,D7,ABS,ABS,ABS,F9,B3,ABS,F9,ABS,F9,D7,Commercial
45309,ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,C4,F9,C5,ABS,Science
45310,ABS,ABS,ABS,ABS,ABS,F9,ABS,B2,F9,A1,F9,ABS,Commercial
45311,ABS,ABS,ABS,ABS,ABS,F9,ABS,C6,F9,F9,A1,ABS,Science
92597,F9,E8,ABS,ABS,ABS,A1,F9,ABS,C5,ABS,C5,C5,Arts
92598,ABS,ABS,ABS,ABS,ABS,C5,ABS,A1,C6,C6,F9,ABS,Commercial
92599,ABS,ABS,ABS,A1,E8,A1,ABS,A1,ABS,ABS,A1,ABS,Arts
92600,ABS,ABS,ABS,A1,B2,A1,ABS,A1,ABS,ABS,ABS,ABS,Arts
92601,ABS,ABS,ABS,F9,F9,F9,ABS,A1,ABS,ABS,A1,ABS,Commercial
92602,D7,B2,ABS,ABS,ABS,C5,F9,ABS,F9,ABS,B2,E8,Commercial
92603,B2,F9,ABS,ABS,ABS,A1,F9,ABS,C5,ABS,A1,F9,Science
92604,ABS,ABS,ABS,B3,A1,A1,ABS,F9,ABS,ABS,F9,ABS,Arts
92605,F9,F9,ABS,ABS,ABS,A1,A1,ABS,F9,ABS,B3,F9,Commercial
92606,B2,D7,ABS,ABS,ABS,F9,A1,ABS,B3,ABS,D7,B2,Arts
92607,ABS,ABS,ABS,E8,C6,A1,ABS,C4,ABS,ABS,F9,ABS,Commercial
92608,ABS,ABS,ABS,ABS,ABS,B3,ABS,F9,F9,F9,F9,ABS,Science
92609,F9,F9,ABS,ABS,ABS,C6,C6,ABS,A1,ABS,E8,C5,Science
92610,A1,C6,ABS,ABS,ABS,F9,C6,ABS,F9,ABS,F9,F9,Commercial
92611,ABS,ABS,ABS,ABS,ABS,F9,ABS,C6,F9,A1,A1,ABS,Commercial
